亞的斯亞貝巴	ya|di|si|ya|bei|ba
亞略巴古	ya|lue|ba|gu
亹源	men|yuan
佔便宜	zhan|pian|yi
丟車保帅	diu|ju|bao|shuai
傳略	zhuan|lue
傳記	zhuan|ji
傳贊	zhuan|zan
俶傥	ti|tang
儱侗	long|tong
內比都	nei|bi|du
內埔鄉	nei|bu|xiang
內行	nei|hang
動彈	dong|tan
勻稱	yun|chen
厭惡	yan|wu
參差	cen|ci
參薯	shen|shu
參宿	shen|xiu
叄拾	san|shi
吳堡	wu|bu
呫噸	zhan|dun
呫吨	zhan|dun
匯出行	hui|chu|hang
協調	xie|tiao
卬首信眉	ang|shou|shen|mei
唵嘛呢叭咪哞	an|ma|ni|ba|mi|mou
唵嘛咪叭呢哞	an|ma|mi|ba|ni|mou
單叢	dong|cong
單縣	shan|xian
單行	dan|hang
單于	chan|yu
嗚咽	wu|ye
嚇聲	he|sheng
國樂	guo|yue
國都	guo|du
嘰嘰喳喳	ji|ji|zha|zha
執行長	zhi|xing|zhang
執著	zhi|zhuo
墊圈	dian|juan
奧古斯都	ao|gu|si|du
奧塞羅	ao|sai|luo
奧黛麗	ao|da|li
奲都	duo|du
嫋娜	niao|nuo
寧都	ning|du
審時度勢	shen|shi|duo|shi
審度	shen|duo
審校	shen|jiao
寶藏	bao|zang
尋不著	xun|bu|zhao
尋的	xun|di
尋思一計	xin|si|yi|ji
對稱	dui|chen
對么	dui|yao
尨服	mang|fu
尨眉皓发	mang|mei|hao|fa
屬地	shu|di
屬於	shu|yu
孖仔	ma|zai
孫女兒	sun|nv|r
宮商角徵羽	gong|shang|jue|zhi|yu
幹麼	gan|ma
張國燾	zhang|guo|tao
張角	zhang|jue
張僧繇	zhang|seng|you
強嘴	jiang|zui
彈壓	tan|ya
彈塗魚	tan|tu|yu
彈撥	tan|bo
彈撥樂	tan|bo|yue
彈唱	tan|chang
彈斥	tan|chi
彈出	tan|chu
彈冠相慶	tan|guan|xiang|qing
彈花	tan|hua
彈簧	tan|huang
彈糾	tan|jiu
彈力	tan|li
彈琴	tan|qin
彈射	tan|she
彈跳	tan|tiao
彈性	tan|xing
彈牙	tan|ya
彈詞	tan|ci
彈指	tan|zhi
彈指一揮	tan|zhi|yi|hui
彈奏	tan|zou
彈劾	tan|he
復辟	fu|bi
惡恨	wu|hen
愛樂樂團	ai|yue|yue|tuan
戰略核力量	zhan|lue|he|li|liang
挓挲	zha|sha
搥打	chui|da
摻和	chan|huo
撏毛捣鬓	xun|mao|dao|bin
撥子彈	bo|zi|tan
擁塞	yong|se
揘畢	yong|bi
揘毕	yong|bi
搖滾樂	yao|gun|yue
攪和	jiao|huo
敩学相长	xiao|xue|xiang|zhang
斅学相长	xiao|xue|xiang|zhang
攙和	chan|huo
晻晻	yan|yan
暈高兒	yun|gao|r
曬乾	shai|gan
會計	kuai|ji
枱布	tai|bu
枱灯	tai|deng
枱面	tai|mian
枱球	tai|qiu
枱子	tai|zi
栟茶	ben|cha
東阿	dong|e
東邊兒	dong|bian|r
棲霞	xi|xia
樂團	yue|tuan
樂壇	yue|tan
樂學者	yue|xue|zhe
樂師	yue|shi
樂都	le|du
樂府	yue|fu
樂經	yue|jing
樂聲	yue|sheng
樂迷	yue|mi
樂器	yue|qi
樂清	yue|qing
樂曲	yue|qu
樂手	yue|shou
樂亭	yue|ting
樂音	yue|yin
樂章	yue|zhang
樂譜	yue|pu
樂隊	yue|dui
標識	biao|zhi
檳城	bin|cheng
檳子	bin|zi
檃栝	yin|kuo
檢校	jian|jiao
殽之战	xiao|zhi|jun
歸降	gui|xiang
洩露	xie|lou
涴市	yuan|shi
沒落	mo|luo
沒收	mo|shou
沒藥	mo|yao
沒完沒了	mei|wan|mei|liao
沒頂	mo|ding
沒齒不忘	mo|chi|bu|wang
沒齒難忘	mo|chi|nan|wang
溫情脈脈	wen|qing|mo|mo
滅沒	mie|mo
淪沒	lun|mo
潛沒	qian|mo
澠池	mian|chi
澫尾	wan|wei
灣仔	wan|zai
煙花行院	yan|hua|hang|yuan
熱和	re|huo
燒乾	shao|gan
燒著	shao|zhao
無的放矢	wu|di|fang|shi
無著	wu|zhuo
無爪	wu|zhua
Ｕ盤	yu|pan
Ｕ盘	yu|pan
畢宿五	bi|xiu|wu
畬族	she|zu
痀偻	ju|lv
痀偻病	ju|lv|bing
痲痹不了	ma|bi|bu|liao
啊耳忒彌斯	a|er|te|mi|si
啊耳忒弥斯	a|er|te|mi|si
阿彌陀佛	e|mi|tuo|fo
阿Ｑ	a|qiu
阿坝藏族羌族自治州	a|ba|zang|zu|qiang|zu|zi|zhi|zhou
阿鼻	e|bi
阿布贾	a|bu|jia
阿布扎比	a|bu|zha|bi
阿党	e|dang
阿党比周	e|dang|bi|zhou
阿党相为	e|dang|xiang|wei
阿的平	a|di|ping
阿堵	e|du
阿堵传神	e|du|chuan|shen
阿堵物	e|du|wu
阿尔都塞	a|er|du|sai
阿尔塞	a|er|sai
阿房	e|pang
阿房宫	e|pang|gong
阿伏伽德羅	a|fu|jia|de|luo
阿伏伽德罗常量	a|fu|jia|de|luo|chang|liang
阿伏伽德罗定律	a|fu|jia|de|luo|ding|lv
阿附	e|fu
阿甘正傳	a|gan|zheng|zhuan
阿甘正传	a|gan|zheng|zhuan
阿胶	e|jiao
阿胶鸡子黄汤	e|jiao|ji|zi|huang|tang
阿卡提	a|ka|di
阿克塞	a|ke|sai
阿克塞哈萨克族自治县	a|ke|sai|ha|sa|ke|zu|zi|zhi|xian
阿克塞縣	a|ke|sai|xian
阿克塞县	a|ke|sai|xian
阿拉伯联合酋长国	a|la|bo|lian|he|qiu|zhang|guo
阿拉乾山脈	a|la|gan|shan|mai
阿兰若	a|lan|re
阿弥托佛	e|mi|tuo|fo
阿弥陀佛	e|mi|tuo|fo
阿弥佗佛	e|mi|tuo|fo
阿难	e|nan
阿膠	e|jiao
阿平绝倒	e|ping|jue|dao
阿其所好	e|qi|suo|hao
阿权膴仕	e|quan|wu|shi
阿塞	a|sai
阿塞拜疆	a|sai|bai|jiang
阿塞拜疆共和国	a|sai|bai|jiang|gong|he|guo
阿塞拜缰	a|sai|bai|jiang
阿时趋俗	e|shi|qu|su
阿什哈巴德	a|shen|ha|ba|de
阿世	e|shi
阿世盗名	e|shi|dao|ming
阿世媚俗	e|shi|mei|su
阿世取容	e|shi|qu|rong
阿提拉	a|ti|la
阿图什	a|tu|shi
阿图什市	a|tu|shi|shi
阿意取容	e|yi|qu|rong
阿意顺旨	e|yi|shun|zhi
阿扎尼亚	a|zha|ni|ya
阿諛	e|yu
阿尊事贵	e|zun|shi|gui
阿谀	e|yu
阿谀逢迎	e|yu|feng|ying
阿谀奉承	e|yu|feng|cheng
阿谀奉承者	e|yu|feng|cheng|zhe
阿谀苟合	e|yu|gou|he
阿谀趋奉	e|yu|qu|feng
阿谀曲从	e|yu|qu|cong
阿谀取容	e|yu|qu|rong
阿谀顺意	e|yu|shun|yi
阿谀顺旨	e|yu|shun|zhi
阿谀者	e|yu|zhe
阿谀谄媚	e|yu|chan|mei
阿芙羅狄忒	a|fu|luo|di|te
阿芙蓉	e|fu|rong
阿難	e|nan
阿臾奉承	e|yu|feng|cheng
阿Q	a|qiu
埃塞	ai|sai
埃塞俄比	ai|sai|e|bi
埃塞俄比亞	ai|sai|e|bi|ya
埃塞俄比亚	ai|sai|e|bi|ya
挨剋	ai|kei
挨不着边	ai|bu|zhao|bian
挨山塞海	ai|shan|se|hai
挨呲兒	ai|ci|r
唉地	ai|de
哀樂	ai|yue
哀哀地	ai|ai|de
哀的美敦	ai|di|mei|dun
哀的美敦書	ai|di|mei|dun|shu
哀的美敦书	ai|di|mei|dun|shu
哀乐	ai|yue
哀求地	ai|qiu|de
哀求著	ai|qiu|zhe
哀伤地	ai|shang|de
哀咽	ai|ye
矮小地	ai|xiao|de
艾达尔上同调	ai|da|er|shang|tong|tiao
碍事地	ai|shi|de
爱嘲笑地	ai|chao|xiao|de
爱扯谎地	ai|che|huang|de
爱尔塞克	ai|er|sai|ke
爱抚地	ai|fu|de
爱好地	ai|hao|de
爱好音乐	ai|hao|yin|yue
爱幻想地	ai|huan|xiang|de
爱空想地	ai|kong|xiang|de
爱乐	ai|yue
爱乐管弦乐团	ai|yue|guan|xian|yue|tuan
爱乐乐团	ai|yue|yue|tuan
爱乐社	ai|yue|she
爱乐者	ai|le|zhe
爱梦想地	ai|meng|xiang|de
爱生恶死	ai|sheng|wu|si
爱生气地	ai|sheng|qi|de
爱睡地	ai|shui|de
爱一行	ai|yi|xing
爱游玩地	ai|you|wan|de
爱远恶近	ai|yuan|wu|jin
爱著你	ai|zhe|ni
鞍钢新轧	an|gang|xin|zha
安得广厦千万间	an|dei|guang|sha|qian|wan|jian
安的列斯群岛	an|di|lie|si|qun|dao
安静地	an|jing|de
安乐地	an|le|de
安全传	an|quan|chuan
安全地	an|quan|de
安全地带	an|quan|di|dai
安全行车	an|quan|xing|che
安全着陆	an|quan|zhuo|lu
安塞	an|sai
安塞尔米	an|sai|er|mi
安塞县	an|sai|xian
安慰地	an|wei|de
安慰著	an|wei|zhe
安闲地	an|xian|de
安详地	an|xiang|de
安心地	an|xin|de
安逸地	an|yi|de
安装垫圈	an|zhuang|dian|quan
安装空调	an|zhuang|kong|tiao
安釐王	an|xi|wang
按比例地	an|bi|li|de
按类别地	an|lei|bie|de
按年代地	an|nian|dai|de
按期偿还	an|qi|chang|huan
按期归还	an|qi|gui|huan
按日摊还	an|ri|tan|huan
按时偿还	an|shi|chang|huan
按时地	an|shi|de
按照行规	an|zhao|hang|gui
按种别地	an|zhong|bie|de
暗暗着急	an|an|zhao|ji
暗号地	an|hao|de
暗语行规	an|yu|hang|gui
暗中地	an|zhong|de
暗中行事	an|zhong|xing|shi
暗自埋怨	an|zi|man|yuan
案曾	an|ceng
肮脏地	ang|zang|de
昂贵地	ang|gui|de
盎颉	ang|xie
盎颉笔	ang|xie|bi
盎颉痹怂	ang|xie|bi|song
凹面光栅	ao|mian|guang|shan
凹陷地	ao|xian|de
熬姜呷醋	ao|jiang|xia|cu
傲不可长	ao|bu|ke|zhang
傲慢地	ao|man|de
傲然地	ao|ran|de
奥狄塞	ao|di|sai
奥都	ao|du
奥古斯都	ao|gu|si|du
奥塞	ao|sai
奥塞罗	ao|sai|luo
奥塞罗特	ao|sai|luo|te
奥曾	ao|ceng
奥黛丽	ao|da|li
懊悔地	ao|hui|de
澳外长	ao|wai|zhang
芭乐	ba|yue
扒摟	ba|lou
扒车	ba|che
扒出	ba|chu
扒船	ba|chuan
扒地	ba|di
扒钉	ba|ding
扒饭	ba|fan
扒房	ba|fang
扒光	ba|guang
扒开	ba|kai
扒拉	ba|la
扒搂	pa|lou
扒皮	ba|pi
扒起	ba|qi
扒手行窃	pa|shou|xing|qie
扒头	ba|tou
扒头儿	ba|tou|er
扒土	ba|tu
扒下	ba|xia
扒寻	ba|xun
扒鸭	ba|ya
